status,source,date,type,description,link
🔴 RELEASE,FinData,2025-12-30,Health Registry,Amendments to the Act on Secondary Use regarding clinical research on 1 January 2026 – see instructions for transferring data,https://findata.fi/en/news/amendments-to-the-act-on-secondary-use-regarding-clinical-research-on-1-january-2026-see-instructions-for-transferring-data/
🔴 RELEASE,FinData,2025-12-17,Health Registry,Findata’s service and permit fees will change in 2026,https://findata.fi/en/news/findatas-service-and-permit-fees-will-change-in-2026/
🔴 RELEASE,FinData,2025-12-17,Health Registry,Windows Kapseli environments to be updated during 2026 – see the changes and update schedule,https://findata.fi/en/news/windows-kapseli-environments-to-be-updated-during-2026-see-the-changes-and-timetable/
🔴 RELEASE,FinData,2025-11-13,Health Registry,Share your views on Findata’s services,https://findata.fi/en/news/share-your-views-on-findatas-services/
🔴 RELEASE,FinData,2025-10-31,Health Registry,Nordic Health Data Summit showcased Nordic leadership in health data collaboration,https://findata.fi/en/news/nordic-health-data-summit-showcased-nordic-leadership-in-health-data-collaboration/
🔴 RELEASE,FinData,2025-09-30,Health Registry,Comment on TEHDAS2 project documents – consultation open until 30 November 2025,https://findata.fi/en/news/comment-on-tehdas2-project-documents-consultation-open-until-30-november-2025/
🔴 RELEASE,FinData,2025-09-23,Health Registry,Findata and Luxembourg launch cooperation,https://findata.fi/en/news/findata-and-luxembourg-launch-cooperation/
🔴 RELEASE,FinData,2025-09-16,Health Registry,Findata’s new advisory services support the effective use of health data,https://findata.fi/en/news/findatas-new-advisory-services-support-the-effective-use-of-health-data/
🔴 RELEASE,FinData,2025-08-27,Health Registry,Findata resumes deliveries of THL’s Hilmo and Avohilmo datasets,https://findata.fi/en/news/findata-resumes-deliveries-of-thls-hilmo-and-avohilmo-datasets/
🔴 RELEASE,FinData,2025-08-13,Health Registry,Result publication to be simplified: Portti tool will be installed in Kapseli environments August 18–26,https://findata.fi/en/news/result-publication-to-be-simplified-portti-tool-will-be-installed-in-kapseli-environments-august-18-26/
